sample_id,source_name,domain,language,compressor,rate,protected,mode,original_tokens,candidate_tokens,gross_saved_tokens,gross_saving_ratio,safe_effective_saved_tokens,safe_saving_ratio,guard_status,protected_spans,protected_retained,fallback,fallback_reason,latency_ms
m11-business-en-safe-01,ContractNLI,business,en,rule-based,0.33,False,R9_direct_api_guard,473,277,196,0.4143763213530655,0,0.0,FAIL,5,False,False,,14.668099815025926
m11-general-vi-unsafe-04,XNLI,general,vi,rule-based,0.33,True,R6_direct_compressor,11,11,0,0.0,0,0.0,NOT_RUN,0,True,False,,0.01759990118443966
m11-general-vi-unsafe-04,XNLI,general,vi,rule-based,0.33,True,R7_direct_guard,11,11,0,0.0,0,0.0,PASS,0,True,False,,0.2919998951256275
m11-general-vi-unsafe-04,XNLI,general,vi,rule-based,0.33,True,R8_api_guard,11,11,0,0.0,0,0.0,PASS,0,True,False,,1.0855000000447035
m11-general-vi-unsafe-04,XNLI,general,vi,rule-based,0.33,True,R9_direct_api_guard,11,11,0,0.0,0,0.0,PASS,0,True,False,,1.1030999012291431
m11-general-vi-unsafe-04,XNLI,general,vi,rule-based,0.33,False,R6_direct_compressor,11,11,0,0.0,0,0.0,NOT_RUN,0,True,False,,0.012699980288743973
m11-general-vi-unsafe-04,XNLI,general,vi,rule-based,0.33,False,R7_direct_guard,11,11,0,0.0,0,0.0,PASS,0,True,False,,0.25299994740635157
m11-general-vi-unsafe-04,XNLI,general,vi,rule-based,0.33,False,R8_api_guard,11,11,0,0.0,0,0.0,PASS,0,True,False,,0.8759000338613987
m11-general-vi-unsafe-04,XNLI,general,vi,rule-based,0.33,False,R9_direct_api_guard,11,11,0,0.0,0,0.0,PASS,0,True,False,,0.8886000141501427
m11-general-vi-safe-04,XNLI,general,vi,rule-based,0.33,True,R6_direct_compressor,40,40,0,0.0,0,0.0,NOT_RUN,4,True,False,,0.03869994543492794
m11-general-vi-safe-04,XNLI,general,vi,rule-based,0.33,True,R7_direct_guard,40,40,0,0.0,0,0.0,PASS,4,True,False,,1.0257998947054148
m11-general-vi-safe-04,XNLI,general,vi,rule-based,0.33,True,R8_api_guard,40,40,0,0.0,0,0.0,PASS,4,True,False,,2.1853999933227897
m11-general-vi-safe-04,XNLI,general,vi,rule-based,0.33,True,R9_direct_api_guard,40,40,0,0.0,0,0.0,PASS,4,True,False,,2.2240999387577176
m11-general-vi-safe-04,XNLI,general,vi,rule-based,0.33,False,R6_direct_compressor,40,40,0,0.0,0,0.0,NOT_RUN,4,True,False,,0.025699962861835957
m11-general-vi-safe-04,XNLI,general,vi,rule-based,0.33,False,R7_direct_guard,40,40,0,0.0,0,0.0,PASS,4,True,False,,0.9924998739734292
m11-general-vi-safe-04,XNLI,general,vi,rule-based,0.33,False,R8_api_guard,40,40,0,0.0,0,0.0,PASS,4,True,False,,1.7354999436065555
m11-general-vi-safe-04,XNLI,general,vi,rule-based,0.33,False,R9_direct_api_guard,40,40,0,0.0,0,0.0,PASS,4,True,False,,1.7611999064683914
m11-academic-vi-unsafe-10,SciFact,academic,vi,rule-based,0.33,True,R6_direct_compressor,438,378,60,0.136986301369863,0,0.0,NOT_RUN,11,True,False,,0.2601000014692545
m11-academic-vi-unsafe-10,SciFact,academic,vi,rule-based,0.33,True,R7_direct_guard,438,378,60,0.136986301369863,0,0.0,FAIL,11,True,False,,15.194799983873963
m11-academic-vi-unsafe-10,SciFact,academic,vi,rule-based,0.33,True,R8_api_guard,438,378,60,0.136986301369863,0,0.0,FAIL,11,True,False,,14.658599975518882
m11-academic-vi-unsafe-10,SciFact,academic,vi,rule-based,0.33,True,R9_direct_api_guard,438,378,60,0.136986301369863,0,0.0,FAIL,11,True,False,,14.918699976988137
